Education Management;1
E-Learning;1
Higher Education;1
Primary/Secondary Education;1
Research;1
Building Materials;2
Civil Engineering;2
Construction;2
Architecture & Planning;2
Design;3
Graphic Design;3
Accounting;4
Business Supplies & Equipment;4
Environmental Services;4
Events Services;4
Executive Office;4
Facilities Services;4
Human Resources;4
Information Services;4
Management Consulting;4
Outsourcing/Offshoring;4
Professional Training & Coaching;4
Security & Investigations;4
Staffing & Recruiting;4
Retail;5
Supermarkets;5
Wholesale;5
Mining & Metals;6
Oil & Energy;6
Utilities;6
Automotive;7
Aviation & Aerospace;7
Chemicals;7
Defense & Space;7
Electrical & Electronic Manufacturing;7
Food Production;7
Glass, Ceramics & Concrete;7
Industrial Automation;7
Machinery;7
Mechanical or Industrial Engineering;7
Packaging & Containers;7
Paper & Forest Products;7
Plastics;7
Railroad Manufacture;7
Renewables & Environment;7
Shipbuilding;7
Textiles;7
Banking;8
Capital Markets;8
Financial Services;8
Insurance;8
Investment Banking;8
Investment Management;8
Venture Capital & Private Equity;8
Airlines/Aviation;9
Gambling & Casinos;9
Hospitality;9
Leisure, Travel & Tourism;9
Restaurants;9
Recreational Facilities & Services;9
Sports;9
Arts & Crafts;10
Fine Art;10
Performing Arts;10
Photography;10
Biotechnology;11
Hospital & Health Care;11
Medical Device;11
Medical Practice;11
Mental Health Care;11
Pharmaceuticals;11
Veterinary;11
Computer Hardware;12
Computer Networking;12
Nanotechnologie;12
Semiconductors;12
Telecommunications;12
Wireless;12
Commercial Real Estate;13
Real Estate;13
Alternative Dispute Resolution;14
Law Practice;14
Legal Services;14
Apparel & Fashion;15
Consumer Electronics;15
Consumer Goods;15
Consumer Services;15
Cosmetics;15
Food & Beverages;15
Furniture;15
Luxury Goods & Jewelry;15
Sporting Goods;15
Tobacco;15
Wine and Spirits;15
Dairy;16
Farming;16
Fishery;16
Ranching;16
Market Research;17
Marketing & Advertising;17
Newspapers;17
Online Media;17
Printing;17
Public Relations & Communications;17
Publishing;17
Translation & Localization;17
Writing & Editing;17
Civic & Social Organization;18
Fundraising;18
Individual & Family Services;18
International Trade & Development;18
Libraries;18
Museums & Institutions;18
Non-Profit Organization Management;18
Philanthropy;18
Program Development;18
Religious Institutions;18
Think Tanks;18
Computer & Network Security;19
Computer Software;19
Information Technology & Services;19
Internet;19
Import & Export;20
Logistics & Supply Chain;20
Maritime;20
Package/Freight Delivery;20
Transportation/Trucking/Railroad;20
Warehousing;20
Animation;21
Broadcast Media;21
Computer Games;21
Entertainment;21
Media Production;21
Mobile Games;21
Motion Pictures & Film;21
Music;21
Alternative Medicine;22
Health, Wellness & Fitness;22
Law Enforcement;23
Military;23
Public Safety;23
Government Administration;24
Government Relations;24
International Affairs;24
Judiciary;24
Legislative Office;24
Political Organization;24
Public Policy;24